group_type,group,n,answer_accuracy,exact_match_rate,contains_gold_answer_rate,avg_token_f1,abstention_rate,wrong_abstention_rate,retrieval_hit_gold_rate,retrieval_full_recall_rate,avg_retrieval_recall,avg_total_tokens,avg_latency_seconds
overall,all,20,0.55,0.25,0.55,0.410135,0.45,0.45,1.0,0.55,0.775,1263.95,6.5939499999999995
topic,entertainment,10,0.6,0.4,0.6,0.45333000000000007,0.4,0.4,1.0,0.5,0.75,1203.1,6.8705
topic,geography,10,0.5,0.1,0.5,0.36694,0.5,0.5,1.0,0.6,0.8,1324.8,6.3174
hotpot_type,bridge,13,0.5384615384615384,0.3076923076923077,0.5384615384615384,0.4520538461538462,0.46153846153846156,0.46153846153846156,1.0,0.46153846153846156,0.7307692307692307,1247.8461538461538,6.4427692307692315
hotpot_type,comparison,7,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.33228571428571424,0.42857142857142855,0.42857142857142855,1.0,0.7142857142857143,0.8571428571428571,1293.857142857143,6.874714285714285
level,hard,20,0.55,0.25,0.55,0.410135,0.45,0.45,1.0,0.55,0.775,1263.95,6.5939499999999995
eval_error_type,correct,11,1.0,0.45454545454545453,0.9090909090909091,0.7196,0.0,0.0,1.0,0.9090909090909091,0.9545454545454546,1248.2727272727273,5.738272727272727
eval_error_type,wrong_abstention_despite_full_retrieval,1,0.0,0.0,1.0,0.1818,1.0,1.0,1.0,1.0,1.0,1672.0,12.779
eval_error_type,wrong_abstention_with_partial_retrieval,8,0.0,0.0,0.0,0.0131625,1.0,1.0,1.0,0.0,0.5,1234.5,6.997375
top_k,5,20,0.55,0.25,0.55,0.410135,0.45,0.45,1.0,0.55,0.775,1263.95,6.5939499999999995
